Ref,Val,Package,PosX,PosY,Rot,Side
"R69","2k2","R_2010_5025Metric",197.000000,-142.000000,180.000000,bottom
"R70","2k2","R_2010_5025Metric",197.000000,-148.000000,0.000000,bottom
"R71","2k2","R_2010_5025Metric",197.000000,-154.000000,180.000000,bottom
"R72","2k2","R_2010_5025Metric",197.000000,-160.000000,0.000000,bottom
"R73","2k2","R_2010_5025Metric",212.000000,-112.000000,0.000000,bottom
"R74","2k2","R_2010_5025Metric",212.000000,-118.000000,180.000000,bottom
"R75","2k2","R_2010_5025Metric",212.000000,-124.000000,0.000000,bottom
"R76","2k2","R_2010_5025Metric",212.000000,-130.000000,180.000000,bottom
"R77","2k2","R_2010_5025Metric",212.000000,-136.000000,0.000000,bottom
"R78","2k2","R_2010_5025Metric",212.000000,-142.000000,180.000000,bottom
"R79","2k2","R_2010_5025Metric",212.000000,-148.000000,0.000000,bottom
"R80","2k2","R_2010_5025Metric",212.000000,-154.000000,180.000000,bottom
"R81","2k2","R_2010_5025Metric",212.000000,-160.000000,0.000000,bottom
"R82","2k2","R_2010_5025Metric",227.000000,-112.000000,0.000000,bottom
"R83","2k2","R_2010_5025Metric",227.000000,-118.000000,180.000000,bottom
"R84","2k2","R_2010_5025Metric",227.000000,-124.000000,0.000000,bottom
"R85","2k2","R_2010_5025Metric",227.000000,-130.000000,180.000000,bottom
"R86","2k2","R_2010_5025Metric",227.000000,-136.000000,0.000000,bottom
"R87","2k2","R_2010_5025Metric",227.025001,-142.000000,180.000000,bottom
"R88","2k2","R_2010_5025Metric",227.000000,-148.000000,0.000000,bottom
"R89","2k2","R_2010_5025Metric",227.000000,-154.000000,180.000000,bottom
"R90","2k2","R_2010_5025Metric",227.000000,-160.000000,0.000000,bottom
"R91","2k2","R_2010_5025Metric",242.000000,-112.000000,0.000000,bottom
"R92","2k2","R_2010_5025Metric",242.000000,-118.000000,180.000000,bottom
"R93","2k2","R_2010_5025Metric",242.000000,-124.000000,0.000000,bottom
"R94","2k2","R_2010_5025Metric",242.000000,-130.000000,180.000000,bottom
"R95","2k2","R_2010_5025Metric",242.000000,-136.000000,0.000000,bottom
"R96","2k2","R_2010_5025Metric",242.000000,-142.000000,180.000000,bottom
"R97","2k2","R_2010_5025Metric",242.000000,-148.000000,0.000000,bottom
"R98","2k2","R_2010_5025Metric",242.000000,-154.000000,180.000000,bottom
"R99","2k2","R_2010_5025Metric",242.000000,-160.000000,0.000000,bottom
"R100","2k2","R_2010_5025Metric",257.000000,-112.000000,180.000000,bottom
"R101","2k2","R_2010_5025Metric",257.000000,-117.000000,0.000000,bottom
"R102","2k2","R_2010_5025Metric",257.000000,-122.000000,180.000000,bottom
"R103","2k2","R_2010_5025Metric",255.427500,-128.000000,270.000000,bottom
"R104","2k2","R_2010_5025Metric",255.427500,-136.000000,270.000000,bottom
"R105","2k2","R_2010_5025Metric",255.427500,-144.000000,270.000000,bottom
"R106","2k2","R_2010_5025Metric",257.000000,-150.000000,0.000000,bottom
"R107","2k2","R_2010_5025Metric",257.000000,-155.000000,180.000000,bottom
"R108","2k2","R_2010_5025Metric",257.000000,-160.000000,0.000000,bottom
"R109","100","R_0805_2012Metric",299.250000,-81.000000,90.000000,bottom
"R110","100","R_0805_2012Metric",301.750000,-81.000000,90.000000,bottom
"R111","5M1","R_1206_3216Metric",310.500000,-89.000000,0.000000,bottom
"R112","20","R_0805_2012Metric",304.250000,-81.000000,270.000000,bottom
"U1","APV1121S","SOP-4_3.8x4.1mm_P2.54mm",311.000000,-83.000000,270.000000,bottom
