   99,4.180,0.318
  199,4.180,0.318
  299,4.180,0.318
  399,4.170,0.318
  499,4.170,0.318
  599,4.160,0.318
  699,4.160,0.319
  799,4.160,0.318
  899,4.160,0.318
  999,4.160,0.318
 1099,4.150,0.319
 1199,4.150,0.317
 1299,4.150,0.318
 1399,4.140,0.318
 1499,4.140,0.318
 1599,4.140,0.318
 1699,4.140,0.319
 1799,4.140,0.318
 1899,4.140,0.318
 1999,4.140,0.317
 2099,4.140,0.318
 2199,4.130,0.320
 2299,4.120,0.318
 2399,4.120,0.317
 2499,4.120,0.317
 2599,4.120,0.318
 2699,4.120,0.317
 2799,4.120,0.317
 2899,4.110,0.318
 2999,4.110,0.317
 3099,4.110,0.318
 3199,4.110,0.319
 3299,4.100,0.318
 3399,4.110,0.318
 3499,4.100,0.318
 3599,4.100,0.319
 3699,4.100,0.318
 3799,4.100,0.318
 3899,4.090,0.318
 3999,4.090,0.318
 4099,4.090,0.317
 4199,4.080,0.319
 4299,4.080,0.318
 4399,4.080,0.318
 4499,4.080,0.319
 4599,4.070,0.318
 4699,4.070,0.318
 4799,4.080,0.318
 4899,4.070,0.318
 4999,4.070,0.319
 5099,4.060,0.318
 5199,4.060,0.319
 5299,4.060,0.317
 5399,4.060,0.318
 5499,4.060,0.318
 5599,4.060,0.318
 5699,4.060,0.319
 5799,4.060,0.318
 5899,4.050,0.318
 5999,4.050,0.318
 6099,4.040,0.316
 6199,4.040,0.318
 6299,4.040,0.319
 6399,4.040,0.318
 6499,4.040,0.319
 6599,4.040,0.318
 6699,4.030,0.318
 6799,4.040,0.319
 6899,4.030,0.318
 6999,4.030,0.319
 7099,4.030,0.318
 7199,4.020,0.318
 7299,4.020,0.318
 7399,4.020,0.317
 7499,4.020,0.318
 7599,4.010,0.318
 7699,4.010,0.318
 7799,4.010,0.318
 7899,4.010,0.318
 7999,4.010,0.318
 8099,4.010,0.317
 8199,4.000,0.318
 8299,4.000,0.318
 8399,4.000,0.318
 8499,3.990,0.318
 8599,3.990,0.317
 8699,3.990,0.319
 8799,3.990,0.318
 8899,3.990,0.319
 8999,3.990,0.318
 9099,3.990,0.318
 9199,3.980,0.318
 9299,3.980,0.318
 9399,3.980,0.318
 9499,3.980,0.318
 9599,3.980,0.317
 9699,3.980,0.318
 9799,3.970,0.317
 9899,3.970,0.319
 9999,3.970,0.319
10099,3.970,0.319
10199,3.970,0.318
10299,3.960,0.318
10399,3.960,0.316
10499,3.960,0.318
10599,3.960,0.319
10699,3.960,0.318
10799,3.960,0.318
10899,3.950,0.318
10999,3.960,0.320
11099,3.940,0.318
11199,3.950,0.318
11299,3.940,0.317
11399,3.930,0.318
11499,3.940,0.318
11599,3.940,0.318
11699,3.940,0.317
11799,3.930,0.319
11899,3.940,0.317
11999,3.930,0.319
12099,3.930,0.319
12199,3.930,0.318
12299,3.920,0.318
12399,3.920,0.318
12499,3.920,0.317
12599,3.920,0.318
12699,3.920,0.317
12799,3.910,0.318
12899,3.910,0.318
12999,3.910,0.318
13099,3.910,0.318
13199,3.900,0.318
13299,3.900,0.318
13399,3.900,0.318
13499,3.900,0.317
13599,3.900,0.318
13699,3.890,0.318
13799,3.890,0.318
13899,3.890,0.316
13999,3.890,0.317
14099,3.880,0.317
14199,3.880,0.317
14299,3.880,0.317
14399,3.880,0.317
14499,3.880,0.318
14599,3.880,0.318
14699,3.860,0.318
14799,3.870,0.319
14899,3.860,0.319
14999,3.870,0.318
15099,3.860,0.319
15199,3.860,0.318
15299,3.850,0.318
15399,3.850,0.318
15499,3.860,0.318
15599,3.850,0.318
15699,3.850,0.318
15799,3.850,0.317
15899,3.850,0.317
15999,3.840,0.318
16099,3.840,0.318
16199,3.840,0.319
16299,3.840,0.318
16399,3.830,0.318
16499,3.840,0.319
16599,3.830,0.318
16699,3.820,0.318
16799,3.820,0.318
16899,3.820,0.318
16999,3.820,0.316
17099,3.820,0.318
17199,3.820,0.317
17299,3.810,0.318
17399,3.810,0.317
17499,3.810,0.317
17599,3.800,0.319
17699,3.810,0.318
17799,3.800,0.317
17899,3.800,0.318
17999,3.790,0.320
18099,3.790,0.316
18199,3.790,0.318
18299,3.790,0.317
18399,3.790,0.317
18499,3.790,0.318
18599,3.780,0.318
18699,3.780,0.319
18799,3.780,0.317
18899,3.780,0.318
18999,3.770,0.318
