%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021OCT29,,,,,,,,,
%R223 is bottom right corner,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
34,1,1,244.25,12.25,0,0.7,0,R214,R_1206/5M1
35,1,1,244.25,17.5,0,0.7,0,R215,R_1206/5M1
36,1,1,263,12.25,0,0.7,0,R309,R_1206/5M1
37,1,1,263,17.5,0,0.7,0,R310,R_1206/5M1
38,1,1,318.25,13.75,0,0.7,0,R222,R_1206/5M1
39,1,1,318.25,19,0,0.7,0,R224,R_1206/5M1
40,1,1,336.2,13.5,90,0.7,0,R130,R_1206/5M1
41,1,9,17.9,11.3,90,0.65,0,R356,R_0805/20R
42,1,9,21.75,5.25,0,0.65,0,R342,R_0805/20R
43,1,9,24.25,5.25,0,0.65,0,R341,R_0805/20R
44,1,9,43,5,0,0.65,0,R343,R_0805/20R
45,1,9,45.5,5,0,0.65,0,R344,R_0805/20R
46,1,9,76.25,52.5,0,0.65,0,R314,R_0805/20R
47,1,9,93.5,30,90,0.65,0,R359,R_0805/20R
48,1,9,113,70.5,0,0.65,0,R030,R_0805/20R
49,1,9,241.5,5,0,0.65,0,R346,R_0805/20R
50,1,9,244,5,0,0.65,0,R347,R_0805/20R
51,1,9,263.5,5,0,0.65,0,R352,R_0805/20R
52,1,9,266,5,0,0.65,0,R353,R_0805/20R
53,1,9,292,135,0,0.65,0,R327,R_0805/20R
54,1,9,318.75,6,0,0.65,0,R349,R_0805/20R
55,1,9,327,5.75,0,0.65,0,R350,R_0805/20R
56,1,9,329,9,0,0.65,0,R339,R_0805/20R
57,1,9,331.5,9,0,0.65,0,R340,R_0805/20R
58,1,5,14.5,142.75,90,0.6,0,R127,R_0805/10k
59,1,5,39.25,26.5,90,0.6,0,R173,R_0805/10k
60,1,5,86.75,133,90,0.6,0,R018,R_0805/10k
61,1,5,90.75,96.25,90,0.6,0,R034,R_0805/10k
62,1,5,108.5,150,90,0.6,0,R013,R_0805/10k
63,1,5,117.25,112,0,0.6,0,R055,R_0805/10k
64,1,5,117.25,108,0,0.6,0,R056,R_0805/10k
65,1,5,121.75,83.25,0,0.6,0,R036,R_0805/10k
66,1,5,122.5,87.25,0,0.6,0,R035,R_0805/10k
67,1,5,123.5,67.75,0,0.6,0,R019,R_0805/10k
68,1,5,123.5,63.75,0,0.6,0,R048,R_0805/10k
69,1,5,123.5,59.75,0,0.6,0,R058,R_0805/10k
70,1,5,124.75,115.75,0,0.6,0,R051,R_0805/10k
71,1,5,125.5,79.25,0,0.6,0,R037,R_0805/10k
72,1,5,125.5,75.25,0,0.6,0,R038,R_0805/10k
73,1,5,126,28.5,0,0.6,0,R220,R_0805/10k
74,1,5,127.75,111.75,90,0.6,0,R052,R_0805/10k
75,1,5,129.5,92.9,0,0.6,0,R312,R_0805/10k
76,1,5,251.75,120,0,0.6,0,R049,R_0805/10k
77,1,5,259,28.5,90,0.6,0,R307,R_0805/10k
78,1,5,287.35,153.9,0,0.6,0,R061,R_0805/10k
79,1,5,303.25,25.5,90,0.6,0,R266,R_0805/10k
80,1,5,312,136.5,90,0.6,0,R335,R_0805/10k
81,1,5,316,136.5,90,0.6,0,R069,R_0805/10k
82,1,5,316,134,90,0.6,0,R070,R_0805/10k
83,1,5,323.25,130.25,0,0.6,0,R315,R_0805/10k
84,1,5,323.75,134,90,0.6,0,R336,R_0805/10k
85,1,5,323.75,136.5,90,0.6,0,R072,R_0805/10k
86,1,5,327.25,133.7,0,0.6,0,R071,R_0805/10k
87,1,12,13.54,130.65,90,0.65,0,R126,R_0805/768R
88,1,12,55,27,0,0.65,0,R172,R_0805/768R
89,1,12,110,71.5,90,0.65,0,R029,R_0805/768R
90,1,12,117.25,115.75,0,0.65,0,R053,R_0805/768R
91,1,12,122.25,100.75,90,0.65,0,R120,R_0805/768R
92,1,12,122.25,115.75,0,0.65,0,R316,R_0805/768R
93,1,12,129.5,89.25,0,0.65,0,R033,R_0805/768R
94,1,12,131.75,18,90,0.65,0,R219,R_0805/768R
95,1,12,252.5,43.25,0,0.65,0,R306,R_0805/768R
96,1,12,310.75,25.5,90,0.65,0,R265,R_0805/768R
97,1,8,9.5,123.75,90,0.65,0,R124,R_0805/100R
98,1,8,16.9,8.1,0,0.65,0,R354,R_0805/100R
99,1,8,17,125.5,0,0.65,0,R123,R_0805/100R
100,1,8,18.5,4.9,90,0.65,0,R223,R_0805/100R
101,1,8,19.3,8.1,0,0.65,0,R355,R_0805/100R
102,1,8,26.5,127,90,0.65,0,R095,R_0805/100R
103,1,8,34.5,154.5,90,0.65,0,R107,R_0805/100R
104,1,8,35.15,51.55,90,0.65,0,R151,R_0805/100R
105,1,8,35.15,47.45,90,0.65,0,R152,R_0805/100R
106,1,8,35.15,43.35,90,0.65,0,R153,R_0805/100R
107,1,8,35.15,39.35,90,0.65,0,R154,R_0805/100R
108,1,8,35.15,35.15,90,0.65,0,R155,R_0805/100R
109,1,8,35.2,55.5,90,0.65,0,R150,R_0805/100R
110,1,8,35.25,31.25,90,0.65,0,R156,R_0805/100R
111,1,8,38.5,144.5,90,0.65,0,R103,R_0805/100R
112,1,8,38.5,147,90,0.65,0,R104,R_0805/100R
113,1,8,38.5,149.5,90,0.65,0,R105,R_0805/100R
114,1,8,38.5,127,90,0.65,0,R096,R_0805/100R
115,1,8,38.5,129.5,90,0.65,0,R097,R_0805/100R
116,1,8,38.51,137,90,0.65,0,R100,R_0805/100R
117,1,8,38.51,139.5,90,0.65,0,R101,R_0805/100R
118,1,8,38.51,142.05,90,0.65,0,R102,R_0805/100R
119,1,8,38.51,132,90,0.65,0,R098,R_0805/100R
120,1,8,38.51,134.5,90,0.65,0,R099,R_0805/100R
121,1,8,38.66,152,90,0.65,0,R106,R_0805/100R
122,1,8,61.25,31.16,0,0.65,0,R169,R_0805/100R
123,1,8,63.5,20.5,90,0.65,0,R170,R_0805/100R
124,1,8,74.75,14.85,90,0.65,0,R145,R_0805/100R
125,1,8,74.75,19.05,90,0.65,0,R146,R_0805/100R
126,1,8,74.75,23.05,90,0.65,0,R147,R_0805/100R
127,1,8,74.75,27.25,90,0.65,0,R148,R_0805/100R
128,1,8,74.75,31.35,90,0.65,0,R149,R_0805/100R
129,1,8,74.81,10.85,90,0.65,0,R144,R_0805/100R
130,1,8,76.25,56.59,0,0.65,0,R313,R_0805/100R
131,1,8,82.5,53,90,0.65,0,R082,R_0805/100R
