Ref,Val,Package,PosX,PosY,Rot,Side
"R171","7k32","R_0805_2012Metric",63.500000,27.500000,90.000000,top
"R172","768","R_0805_2012Metric",55.500000,27.500000,270.000000,top
"R173","10k","R_0805_2012Metric",39.750000,27.000000,180.000000,top
"R174","1k24","R_0805_2012Metric",58.000000,27.500000,270.000000,top
"R175","5M","R_1206_3216Metric",44.750000,13.250000,90.000000,top
"R176","5M","R_1206_3216Metric",44.750000,18.250000,90.000000,top
"R177","75","R_2010_5025Metric",169.150000,15.950000,0.000000,top
"R178","75","R_2010_5025Metric",169.150000,20.150000,0.000000,top
"R179","75","R_2010_5025Metric",169.150000,24.250000,0.000000,top
"R180","75","R_2010_5025Metric",169.150000,28.350000,0.000000,top
"R181","75","R_2010_5025Metric",169.150000,32.450000,0.000000,top
"R182","75","R_2010_5025Metric",169.150000,36.550000,0.000000,top
"R183","75","R_2010_5025Metric",169.150000,40.650000,0.000000,top
"R184","75","R_2010_5025Metric",169.150000,44.750000,0.000000,top
"R185","75","R_2010_5025Metric",169.150000,48.850000,0.000000,top
"R186","75","R_2010_5025Metric",169.150000,52.950000,0.000000,top
"R187","75","R_2010_5025Metric",169.150000,57.050000,0.000000,top
"R188","75","R_2010_5025Metric",167.750000,63.000000,90.000000,top
"R189","100","R_0805_2012Metric",155.650000,14.650000,0.000000,top
"R190","100","R_0805_2012Metric",155.650000,18.850000,0.000000,top
"R191","100","R_0805_2012Metric",155.650000,23.050000,0.000000,top
"R192","100","R_0805_2012Metric",155.650000,27.050000,0.000000,top
"R193","100","R_0805_2012Metric",155.650000,31.250000,0.000000,top
"R194","100","R_0805_2012Metric",155.650000,35.350000,0.000000,top
"R195","100","R_0805_2012Metric",155.650000,39.450000,0.000000,top
"R196","100","R_0805_2012Metric",155.650000,43.450000,0.000000,top
"R197","100","R_0805_2012Metric",155.650000,47.550000,0.000000,top
"R198","100","R_0805_2012Metric",155.650000,51.750000,0.000000,top
"R199","100","R_0805_2012Metric",155.637500,55.750000,0.000000,top
"R200","100","R_0805_2012Metric",155.637500,59.950000,0.000000,top
"R201","100","R_0805_2012Metric",158.000000,65.500000,90.000000,top
"R202","1k24","R_0805_2012Metric",159.650000,16.750000,0.000000,top
"R203","1k24","R_0805_2012Metric",159.650000,20.950000,0.000000,top
"R204","1k24","R_0805_2012Metric",159.650000,25.050000,0.000000,top
"R205","1k24","R_0805_2012Metric",159.650000,29.150000,0.000000,top
"R206","1k24","R_0805_2012Metric",159.650000,33.250000,0.000000,top
"R207","1k24","R_0805_2012Metric",159.650000,37.350000,0.000000,top
"R208","1k24","R_0805_2012Metric",159.650000,41.450000,0.000000,top
"R209","1k24","R_0805_2012Metric",159.650000,45.550000,0.000000,top
"R210","1k24","R_0805_2012Metric",159.650000,49.650000,0.000000,top
"R211","1k24","R_0805_2012Metric",159.650000,53.750000,0.000000,top
"R212","1k24","R_0805_2012Metric",159.650000,57.850000,0.000000,top
"R213","1k24","R_0805_2012Metric",159.650000,62.050000,0.000000,top
"R214","5M","R_1206_3216Metric",244.750000,12.750000,90.000000,top
"R215","5M","R_1206_3216Metric",244.750000,18.000000,90.000000,top
"R216","100","R_0805_2012Metric",144.250000,16.500000,90.000000,top
"R217","100","R_0805_2012Metric",122.250000,17.500000,270.000000,top
