%CSV delimiter: comma,,,,,,,,,
%5AhG3 18S RevB P&P,,,,,,,,,
%2022DEC21,,,,,,,,,
"%R9 is bottom left corner (""Center this hole"" facing left)",,,,,,,,,
%KiCAD(A;B) centroid is P&P(A-74;B+198),,,,,,,,,
%XY centroids unmodified,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
22,2,24,48,62,90,0.7,0,R23,R_2010/6k2R
23,2,24,48,56,90,0.7,0,R24,R_2010/6k2R
24,2,24,48,50,90,0.7,0,R25,R_2010/6k2R
25,2,24,48,44,90,0.7,0,R26,R_2010/6k2R
26,2,24,48,38,90,0.7,0,R27,R_2010/6k2R
27,2,24,63,86,90,0.7,0,R28,R_2010/6k2R
28,2,24,63,80,90,0.7,0,R29,R_2010/6k2R
29,2,24,63,74,90,0.7,0,R30,R_2010/6k2R
30,2,24,63,68,90,0.7,0,R31,R_2010/6k2R
31,2,24,63,62,90,0.7,0,R32,R_2010/6k2R
32,2,24,63,56,90,0.7,0,R33,R_2010/6k2R
33,2,24,63,50,90,0.7,0,R34,R_2010/6k2R
34,2,24,63,44,90,0.7,0,R35,R_2010/6k2R
35,2,24,63,38,90,0.7,0,R36,R_2010/6k2R
36,2,24,78,86,90,0.7,0,R37,R_2010/6k2R
37,2,24,78,80,90,0.7,0,R38,R_2010/6k2R
38,2,24,78,74,90,0.7,0,R39,R_2010/6k2R
39,2,24,78,68,90,0.7,0,R40,R_2010/6k2R
40,2,24,78,62,90,0.7,0,R41,R_2010/6k2R
41,2,24,78,56,90,0.7,0,R42,R_2010/6k2R
42,2,24,78,50,90,0.7,0,R43,R_2010/6k2R
43,2,24,78,44,90,0.7,0,R44,R_2010/6k2R
44,2,24,78,38,90,0.7,0,R45,R_2010/6k2R
45,2,24,93,86,90,0.7,0,R46,R_2010/6k2R
46,2,24,93,80,90,0.7,0,R47,R_2010/6k2R
47,2,24,93,74,90,0.7,0,R48,R_2010/6k2R
48,2,24,93,68,90,0.7,0,R49,R_2010/6k2R
49,2,24,93,62,90,0.7,0,R50,R_2010/6k2R
50,2,24,93,56,90,0.7,0,R51,R_2010/6k2R
51,2,24,93,50,90,0.7,0,R52,R_2010/6k2R
52,2,24,93,44,90,0.7,0,R53,R_2010/6k2R
53,2,24,93,38,90,0.7,0,R54,R_2010/6k2R
54,2,24,108,86,90,0.7,0,R55,R_2010/6k2R
55,2,24,108,80,90,0.7,0,R56,R_2010/6k2R
56,2,24,108,74,90,0.7,0,R57,R_2010/6k2R
57,2,24,108,68,90,0.7,0,R58,R_2010/6k2R
58,2,24,108,62,90,0.7,0,R59,R_2010/6k2R
59,2,24,108,56,90,0.7,0,R60,R_2010/6k2R
60,2,24,108,50,90,0.7,0,R61,R_2010/6k2R
61,2,24,108,44,90,0.7,0,R62,R_2010/6k2R
62,2,24,108,38,90,0.7,0,R63,R_2010/6k2R
63,2,24,123,86,90,0.7,0,R64,R_2010/6k2R
64,2,24,123,80,90,0.7,0,R65,R_2010/6k2R
65,2,24,123,74,90,0.7,0,R66,R_2010/6k2R
66,2,24,123,68,90,0.7,0,R67,R_2010/6k2R
67,2,24,123,62,90,0.7,0,R68,R_2010/6k2R
68,2,24,123,56,90,0.7,0,R69,R_2010/6k2R
69,2,24,123,50,90,0.7,0,R70,R_2010/6k2R
70,2,24,123,44,90,0.7,0,R71,R_2010/6k2R
