   99,4.160,0.319
  199,4.160,0.319
  299,4.160,0.319
  399,4.160,0.319
  499,4.150,0.319
  599,4.150,0.319
  699,4.150,0.319
  799,4.150,0.318
  899,4.140,0.317
  999,4.140,0.317
 1099,4.140,0.319
 1199,4.140,0.320
 1299,4.140,0.320
 1399,4.140,0.320
 1499,4.140,0.320
 1599,4.130,0.320
 1699,4.130,0.319
 1799,4.130,0.320
 1899,4.120,0.320
 1999,4.120,0.319
 2099,4.120,0.320
 2199,4.120,0.319
 2299,4.120,0.319
 2399,4.110,0.319
 2499,4.110,0.319
 2599,4.110,0.319
 2699,4.110,0.319
 2799,4.110,0.319
 2899,4.110,0.319
 2999,4.110,0.319
 3099,4.110,0.318
 3199,4.100,0.318
 3299,4.100,0.319
 3399,4.100,0.319
 3499,4.100,0.318
 3599,4.090,0.320
 3699,4.090,0.319
 3799,4.090,0.319
 3899,4.080,0.319
 3999,4.090,0.318
 4099,4.080,0.318
 4199,4.080,0.319
 4299,4.080,0.317
 4399,4.080,0.319
 4499,4.080,0.319
 4599,4.080,0.318
 4699,4.070,0.319
 4799,4.070,0.319
 4899,4.070,0.319
 4999,4.060,0.319
 5099,4.060,0.318
 5199,4.060,0.318
 5299,4.060,0.319
 5399,4.060,0.319
 5499,4.050,0.318
 5599,4.060,0.319
 5699,4.060,0.319
 5799,4.050,0.319
 5899,4.050,0.319
 5999,4.050,0.318
 6099,4.050,0.318
 6199,4.040,0.319
 6299,4.040,0.318
 6399,4.040,0.318
 6499,4.040,0.319
 6599,4.040,0.318
 6699,4.040,0.318
 6799,4.030,0.318
 6899,4.030,0.318
 6999,4.030,0.318
 7099,4.030,0.319
 7199,4.030,0.318
 7299,4.020,0.318
 7399,4.020,0.317
 7499,4.020,0.319
 7599,4.020,0.318
 7699,4.020,0.318
 7799,4.020,0.318
 7899,4.020,0.319
 7999,4.020,0.318
 8099,4.010,0.318
 8199,4.010,0.318
 8299,4.010,0.318
 8399,4.000,0.318
 8499,4.010,0.318
 8599,4.000,0.319
 8699,4.000,0.318
 8799,4.000,0.319
 8899,3.990,0.317
 8999,4.000,0.317
 9099,3.990,0.318
 9199,3.990,0.318
 9299,3.990,0.318
 9399,3.990,0.318
 9499,3.990,0.318
 9599,3.980,0.319
 9699,3.990,0.318
 9799,3.980,0.319
 9899,3.990,0.317
 9999,3.980,0.317
10099,3.980,0.318
10199,3.980,0.317
10299,3.970,0.319
10399,3.970,0.318
10499,3.970,0.319
10599,3.960,0.319
10699,3.970,0.318
10799,3.970,0.318
10899,3.960,0.318
10999,3.960,0.318
11099,3.960,0.318
11199,3.960,0.318
11299,3.950,0.317
11399,3.960,0.318
11499,3.950,0.318
11599,3.950,0.318
11699,3.950,0.317
11799,3.950,0.318
11899,3.940,0.318
11999,3.940,0.318
12099,3.940,0.318
12199,3.940,0.319
12299,3.940,0.317
12399,3.940,0.318
12499,3.930,0.318
12599,3.930,0.318
12699,3.930,0.316
12799,3.920,0.318
12899,3.930,0.317
12999,3.920,0.317
13099,3.910,0.318
13199,3.910,0.317
13299,3.910,0.318
13399,3.910,0.318
13499,3.900,0.318
13599,3.910,0.319
13699,3.900,0.319
13799,3.900,0.319
13899,3.900,0.318
13999,3.900,0.317
14099,3.890,0.318
14199,3.890,0.317
14299,3.890,0.318
14399,3.890,0.318
14499,3.880,0.317
14599,3.880,0.318
14699,3.880,0.316
14799,3.880,0.318
14899,3.880,0.318
14999,3.870,0.317
15099,3.870,0.318
15199,3.870,0.318
15299,3.870,0.317
15399,3.870,0.317
15499,3.870,0.318
15599,3.870,0.318
15699,3.870,0.317
15799,3.850,0.318
15899,3.860,0.318
15999,3.850,0.316
16099,3.860,0.318
16199,3.860,0.318
16299,3.850,0.319
16399,3.860,0.318
16499,3.850,0.318
16599,3.850,0.318
16699,3.850,0.318
16799,3.850,0.318
16899,3.850,0.318
16999,3.850,0.318
17099,3.850,0.318
17199,3.840,0.318
17299,3.840,0.319
17399,3.840,0.318
17499,3.840,0.317
17599,3.840,0.319
17699,3.840,0.317
17799,3.830,0.316
17899,3.830,0.317
17999,3.830,0.318
18099,3.830,0.317
18199,3.830,0.319
18299,3.830,0.318
18399,3.830,0.319
18499,3.830,0.318
18599,3.830,0.319
18699,3.830,0.318
18799,3.820,0.319
18899,3.820,0.317
18999,3.820,0.317
19099,3.820,0.318
19199,3.820,0.318
19299,3.820,0.317
19399,3.820,0.317
19499,3.820,0.318
19599,3.810,0.319
19699,3.810,0.317
19799,3.810,0.318
19899,3.810,0.317
19999,3.810,0.318
20099,3.810,0.319
20199,3.800,0.318
20299,3.800,0.318
20399,3.810,0.318
20499,3.800,0.318
20599,3.800,0.317
20699,3.800,0.318
20799,3.800,0.319
20899,3.800,0.318
20999,3.800,0.317
21099,3.800,0.318
21199,3.790,0.318
21299,3.790,0.318
21399,3.790,0.317
21499,3.790,0.318
21599,3.790,0.318
21699,3.780,0.318
21799,3.780,0.318
21899,3.780,0.318
21999,3.780,0.318
22099,3.780,0.318
22199,3.770,0.318
22299,3.780,0.317
22399,3.780,0.317
22499,3.780,0.317
22599,3.780,0.319
22699,3.780,0.317
22799,3.780,0.319
22899,3.770,0.317
22999,3.780,0.316
23099,3.770,0.318
23199,3.770,0.317
23299,3.770,0.318
23399,3.760,0.317
23499,3.770,0.319
23599,3.770,0.318
23699,3.770,0.318
23799,3.760,0.317
23899,3.770,0.318
23999,3.760,0.317
24099,3.760,0.316
24199,3.770,0.317
24299,3.760,0.318
24399,3.760,0.318
24499,3.760,0.319
24599,3.760,0.318
24699,3.760,0.317
24799,3.760,0.317
24899,3.750,0.317
24999,3.750,0.318
25099,3.760,0.317
25199,3.750,0.316
25299,3.750,0.318
25399,3.750,0.319
25499,3.750,0.318
25599,3.750,0.317
25699,3.750,0.318
25799,3.750,0.318
25899,3.740,0.317
25999,3.740,0.317
26099,3.740,0.318
26199,3.740,0.317
26299,3.740,0.317
26399,3.740,0.318
26499,3.740,0.318
26599,3.740,0.317
26699,3.740,0.318
26799,3.740,0.317
26899,3.730,0.318
26999,3.730,0.318
27099,3.730,0.317
