%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021JUN10,,,,,,,,,
%Orient PCB _TBD___,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: M,,,,,,,,,
%nozzle 2 tip: S,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
25,2,1,318.75,14.25,90,0.8,0,R222,R_1206/5M
26,2,1,318.75,19.5,90,0.8,0,R224,R_1206/5M
27,2,1,263.5,12.75,90,0.8,0,R309,R_1206/5M
28,2,1,263.5,18,90,0.8,0,R310,R_1206/5M
29,2,9,141.25,69.5,270,0.8,0,R1,R_0805/1k
30,2,9,116,84.25,90,0.8,0,R120,R_0805/1k
31,2,9,118.75,87,0,0.8,0,R122,R_0805/1k
32,2,9,14.0375,131.15,180,0.8,0,R126,R_0805/1k
33,2,9,55.5,27.5,270,0.8,0,R172,R_0805/1k
34,2,9,141.6625,77.25,0,0.8,0,R2,R_0805/1k
35,2,9,132.25,18.5,180,0.8,0,R219,R_0805/1k
36,2,9,311.25,26,0,0.8,0,R265,R_0805/1k
37,2,9,141.75,85,0,0.8,0,R3,R_0805/1k
38,2,9,253,43.75,90,0.8,0,R306,R_0805/1k
39,2,9,103.2,76.95,270,0.8,0,R43,R_0805/1k
40,2,9,103.2,73.1,270,0.8,0,R44,R_0805/1k
41,2,9,103.2,69.2,270,0.8,0,R45,R_0805/1k
42,2,9,103.2,65.35,270,0.8,0,R46,R_0805/1k
43,2,9,141.75,92,0,0.8,0,R5,R_0805/1k
44,2,9,122.2,143,90,0.8,0,R58,R_0805/1k
