%CSV delimiter: comma,,,,,,,,,
%LiBCMrevB P&P,,,,,,,,,
%2021JUN10,,,,,,,,,
%Orient PCB _TBD___,,,,,,,,,
%unit mm,,,,,,,,,
,,,,,,,,,
%tip size XS: 0402/0603,,,,,,,,,
%tip size S: 0805/1206/1210/1812/2010/2512/SOT-23/SMA/SMB,,,,,,,,,
%tip size M: SOT-23/SOT223/SOT-89/TO-252,,,,,,,,,
%tip size ML: TSSOP-16+,,,,,,,,,
%nozzle 1 tip: S,,,,,,,,,
%nozzle 2 tip: ML,,,,,,,,,
,,,,,,,,,
%Configure board offset,OriginOffsetCommand,X,Y,,,,,,
65535,0,0,0,,,,,,
,,,,,,,,,
%Configure part offset on reel,1=StackOffset Command,Stack (reel number),X,Y,Comment,,,,
%Tray (front),,,,,,,,,
35,1,9,141.06,76.55,90,0.8,0,R2,R_0805/1k
36,1,9,131.65,17.8,90,0.8,0,R219,R_0805/1k
37,1,9,310.65,25.3,90,0.8,0,R265,R_0805/1k
38,1,9,141.15,84.3,90,0.8,0,R3,R_0805/1k
39,1,9,252.4,43.05,0,0.8,0,R306,R_0805/1k
40,1,9,102.6,76.25,0,0.8,0,R43,R_0805/1k
41,1,9,102.6,72.4,0,0.8,0,R44,R_0805/1k
42,1,9,102.6,68.5,0,0.8,0,R45,R_0805/1k
43,1,9,102.6,64.65,0,0.8,0,R46,R_0805/1k
44,1,9,141.15,91.3,90,0.8,0,R5,R_0805/1k
45,1,9,121.6,142.3,0,0.8,0,R58,R_0805/1k
46,1,5,14.4,142.55,90,0.8,0,R127,R_0805/10k
47,1,5,71.4,43.8,0,0.8,0,R13,R_0805/10k
48,1,5,39.9,24.8,0,0.8,0,R173,R_0805/10k
49,1,5,111.4,141.3,90,0.8,0,R18,R_0805/10k
50,1,5,125.9,28.3,0,0.8,0,R220,R_0805/10k
51,1,5,87.65,133.05,90,0.8,0,R26,R_0805/10k
52,1,5,303.15,25.3,90,0.8,0,R266,R_0805/10k
53,1,5,258.9,28.3,90,0.8,0,R307,R_0805/10k
54,1,5,140.65,122.8,0,0.8,0,R312,R_0805/10k
55,1,5,323.9,131.05,90,0.8,0,R315,R_0805/10k
56,1,5,238.9,125.8,90,0.8,0,R319,R_0805/10k
57,1,5,95.1,85.6,90,0.8,0,R34,R_0805/10k
58,1,5,152.8,124.65,0,0.8,0,R35,R_0805/10k
59,1,5,156.55,124.65,0,0.8,0,R36,R_0805/10k
60,1,5,160.15,124.65,0,0.8,0,R37,R_0805/10k
61,1,5,164.2,124.9,0,0.8,0,R38,R_0805/10k
62,1,5,177.6,123.5,90,0.8,0,R39,R_0805/10k
63,1,5,196.5,122.4,0,0.8,0,R42,R_0805/10k
64,1,5,196.5,126.5,0,0.8,0,R47,R_0805/10k
65,1,5,119.9,147.3,90,0.8,0,R49,R_0805/10k
66,1,5,123.15,107.71,0,0.8,0,R51,R_0805/10k
67,1,5,125.65,104.55,90,0.8,0,R52,R_0805/10k
68,1,5,115.65,105.25,0,0.8,0,R55,R_0805/10k
69,1,5,115.65,101.3,0,0.8,0,R56,R_0805/10k
70,1,5,287.25,153.7,0,0.8,0,R61,R_0805/10k
71,1,5,310.9,137.55,90,0.8,0,R69,R_0805/10k@0.25W
72,1,5,324.15,137.55,90,0.8,0,R72,R_0805/10k@0.25W
